Algorithm;ScenarioName;RunIndex;MapWidth;MapHeight;ObstacleDensity;MapType;AllowDiagonal;Start;Goal;LinearDistance;WeightW;TimeLimitMs;MaxExpansions;TieBreakLowG;Found;PathCost;PathLength;Expansions;ElapsedMs;AllocBytes
JPS;0_100x100_dens0,10_corner_Diag;6;100;100;0.1;Random;1;0,0;99,99;140.0071426749364;1.2;0;0;1;1;142.93607486307084;92;91;0;145056
Dijkstra;0_100x100_dens0,10_corner_Diag;7;100;100;0.1;Random;1;0,0;99,99;140.0071426749364;1.2;0;0;1;1;142.35028842544395;104;8999;6;5595600
WeightedAStar;0_100x100_dens0,10_corner_Diag;7;100;100;0.1;Random;1;0,0;99,99;140.0071426749364;1.2;0;0;1;1;149.03657992645918;114;114;0;168944
JPS;0_100x100_dens0,10_corner_Diag;7;100;100;0.1;Random;1;0,0;99,99;140.0071426749364;1.2;0;0;1;1;142.35028842544384;89;88;0;139056
Dijkstra;0_100x100_dens0,10_corner_Diag;8;100;100;0.1;Random;1;0,0;99,99;140.0071426749364;1.2;0;0;1;1;141.76450198781706;103;8999;6;5595600
WeightedAStar;0_100x100_dens0,10_corner_Diag;8;100;100;0.1;Random;1;0,0;99,99;140.0071426749364;1.2;0;0;1;1;142.93607486307084;105;106;0;166256
JPS;0_100x100_dens0,10_corner_Diag;8;100;100;0.1;Random;1;0,0;99,99;140.0071426749364;1.2;0;0;1;1;142.9360748630709;91;90;0;144504
Dijkstra;0_100x100_dens0,10_corner_Diag;9;100;100;0.1;Random;1;0,0;99,99;140.0071426749364;1.2;0;0;1;1;142.93607486307084;105;8999;6;5595600
WeightedAStar;0_100x100_dens0,10_corner_Diag;9;100;100;0.1;Random;1;0,0;99,99;140.0071426749364;1.2;0;0;1;1;144.69343417595155;108;111;0;167936
JPS;0_100x100_dens0,10_corner_Diag;9;100;100;0.1;Random;1;0,0;99,99;140.0071426749364;1.2;0;0;1;1;142.93607486307084;85;84;0;136056
Dijkstra;0_100x100_dens0,10_corner_Diag;10;100;100;0.1;Random;1;0,0;99,99;140.0071426749364;1.2;0;0;1;1;142.93607486307087;105;8999;7;5595600
WeightedAStar;0_100x100_dens0,10_corner_Diag;10;100;100;0.1;Random;1;0,0;99,99;140.0071426749364;1.2;0;0;1;1;145.86500705120537;110;109;0;167264
JPS;0_100x100_dens0,10_corner_Diag;10;100;100;0.1;Random;1;0,0;99,99;140.0071426749364;1.2;0;0;1;1;144.1076477383247;90;89;0;139608
Dijkstra;0_100x100_dens0,10_corner_Diag;11;100;100;0.1;Random;1;0,0;99,99;140.0071426749364;1.2;0;0;1;1;142.35028842544395;104;8999;7;5595600
WeightedAStar;0_100x100_dens0,10_corner_Diag;11;100;100;0.1;Random;1;0,0;99,99;140.0071426749364;1.2;0;0;1;1;144.10764773832466;107;106;0;166256
JPS;0_100x100_dens0,10_corner_Diag;11;100;100;0.1;Random;1;0,0;99,99;140.0071426749364;1.2;0;0;1;1;142.35028842544392;90;89;0;191264
Dijkstra;0_100x100_dens0,10_corner_Diag;12;100;100;0.1;Random;1;0,0;99,99;140.0071426749364;1.2;0;0;1;1;141.76450198781706;103;8999;7;5595600
WeightedAStar;0_100x100_dens0,10_corner_Diag;12;100;100;0.1;Random;1;0,0;99,99;140.0071426749364;1.2;0;0;1;1;143.52186130069776;106;105;0;165920
JPS;0_100x100_dens0,10_corner_Diag;12;100;100;0.1;Random;1;0,0;99,99;140.0071426749364;1.2;0;0;1;1;144.10764773832463;94;94;0;147240
Dijkstra;0_100x100_dens0,10_corner_Diag;13;100;100;0.1;Random;1;0,0;99,99;140.0071426749364;1.2;0;0;1;1;141.76450198781706;103;8999;7;5595600
WeightedAStar;0_100x100_dens0,10_corner_Diag;13;100;100;0.1;Random;1;0,0;99,99;140.0071426749364;1.2;0;0;1;1;142.35028842544398;104;103;0;165248
JPS;0_100x100_dens0,10_corner_Diag;13;100;100;0.1;Random;1;0,0;99,99;140.0071426749364;1.2;0;0;1;1;142.9360748630708;90;89;0;139608
Dijkstra;0_100x100_dens0,10_corner_Diag;14;100;100;0.1;Random;1;0,0;99,99;140.0071426749364;1.2;0;0;1;1;141.17871555019016;102;8999;7;5595600
WeightedAStar;0_100x100_dens0,10_corner_Diag;14;100;100;0.1;Random;1;0,0;99,99;140.0071426749364;1.2;0;0;1;1;142.93607486307084;105;108;0;166928
JPS;0_100x100_dens0,10_corner_Diag;14;100;100;0.1;Random;1;0,0;99,99;140.0071426749364;1.2;0;0;1;1;142.3502884254439;85;85;0;136872
Dijkstra;0_100x100_dens0,10_corner_Diag;15;100;100;0.1;Random;1;0,0;99,99;140.0071426749364;1.2;0;0;1;1;142.93607486307087;105;8999;7;5595600
WeightedAStar;0_100x100_dens0,10_corner_Diag;15;100;100;0.1;Random;1;0,0;99,99;140.0071426749364;1.2;0;0;1;1;146.1076477383247;109;108;0;166928
JPS;0_100x100_dens0,10_corner_Diag;15;100;100;0.1;Random;1;0,0;99,99;140.0071426749364;1.2;0;0;1;1;142.9360748630708;96;96;0;200440
Dijkstra;0_100x100_dens0,10_corner_Diag;16;100;100;0.1;Random;1;0,0;99,99;140.0071426749364;1.2;0;0;1;1;142.35028842544395;104;8999;6;5595600
WeightedAStar;0_100x100_dens0,10_corner_Diag;16;100;100;0.1;Random;1;0,0;99,99;140.0071426749364;1.2;0;0;1;1;145.86500705120534;110;109;0;167264
JPS;0_100x100_dens0,10_corner_Diag;16;100;100;0.1;Random;1;0,0;99,99;140.0071426749364;1.2;0;0;1;1;142.9360748630709;87;86;0;137600
Dijkstra;0_100x100_dens0,10_corner_Diag;17;100;100;0.1;Random;1;0,0;99,99;140.0071426749364;1.2;0;0;1;1;142.35028842544398;104;8999;6;5595600
WeightedAStar;0_100x100_dens0,10_corner_Diag;17;100;100;0.1;Random;1;0,0;99,99;140.0071426749364;1.2;0;0;1;1;144.69343417595152;108;107;0;166592
JPS;0_100x100_dens0,10_corner_Diag;17;100;100;0.1;Random;1;0,0;99,99;140.0071426749364;1.2;0;0;1;1;142.9360748630708;86;85;0;136872
Dijkstra;0_100x100_dens0,10_corner_Diag;18;100;100;0.1;Random;1;0,0;99,99;140.0071426749364;1.2;0;0;1;1;142.93607486307087;105;8999;6;5595600
WeightedAStar;0_100x100_dens0,10_corner_Diag;18;100;100;0.1;Random;1;0,0;99,99;140.0071426749364;1.2;0;0;1;1;143.52186130069776;106;107;0;166592
